iter	Passed	Remaining
1532	112644	254755
1533	112714	254672
1534	112789	254602
1535	112862	254528
1536	112927	254435
1537	112996	254352
1538	113066	254270
1539	113127	254169
1540	113193	254079
1541	113266	254004
1542	113333	253917
1543	113402	253834
1544	113466	253739
1545	113533	253651
1546	113613	253593
1547	113690	253525
1548	113764	253453
1549	113833	253370
1550	113910	253305
1551	113980	253224
1552	114053	253149
1553	114126	253075
1554	114188	252977
1555	114256	252892
1556	114327	252813
1557	114394	252726
1558	114460	252635
1559	114531	252556
1560	114609	252493
1561	114669	252390
1562	114742	252315
1563	114827	252267
1564	114898	252188
1565	114970	252112
1566	115035	252020
1567	115100	251928
1568	115167	251840
1569	115239	251764
1570	115313	251692
1571	115378	251602
1572	115442	251507
1573	115513	251428
1574	115587	251355
1575	115661	251284
1576	115746	251237
1577	115821	251167
1578	115886	251075
1579	115960	251003
1580	116047	250959
1581	116132	250911
1582	116226	250881
1583	116313	250836
1584	116384	250758
1585	116445	250658
1586	116505	250556
1587	116577	250480
1588	116647	250398
1589	116717	250319
1590	116791	250246
1591	116859	250161
1592	116934	250091
1593	117027	250060
1594	117104	249994
1595	117183	249932
1596	117247	249838
1597	117317	249757
1598	117397	249698
1599	117469	249622
1600	117545	249554
1601	117615	249473
1602	117681	249385
1603	117751	249304
1604	117823	249228
1605	117889	249138
1606	117965	249071
1607	118054	249031
1608	118140	248983
1609	118241	248967
1610	118320	248905
1611	118394	248834
1612	118471	248768
1613	118550	248705
1614	118637	248660
1615	118713	248594
1616	118812	248573
1617	118884	248495
1618	118956	248420
1619	119057	248402
1620	119131	248331
1621	119212	248273
1622	119298	248225
1623	119401	248213
1624	119492	248177
1625	119578	248129
1626	119649	248050
1627	119730	247991
1628	119804	247920
1629	119882	247855
1630	119957	247785
1631	120029	247707
1632	120127	247685
1633	120223	247658
1634	120320	247632
1635	120410	247592
1636	120489	247529
1637	120583	247498
1638	120659	247428
1639	120760	247412
1640	120849	247369
1641	120960	247372
1642	121071	247374
1643	121181	247374
1644	121290	247372
1645	121383	247339
1646	121470	247293
1647	121551	247233
1648	121627	247164
1649	121693	247075
1650	121770	247007
1651	121834	246913
1652	121906	246836
1653	121978	246760
1654	122057	246695
1655	122126	246612
1656	122201	246540
